1,pName,groupName,pPrice, pDesc,imgSrc,pOption,pActive, pRemark,spicy,ingredient,sauce-type,decorate,dish-type
2,Spring Rolls (2),APPETIZERS,2.75,Glass noodles and vegetables deep fried in an egg roll wrapper and served with Thai duck sauce,A01.jpg,,1,,,i0000000000000000000000000000000000000,sweet venega carrot,,r1
3,Satay (4),APPETIZERS,5.75,Chicken or pork skewers grilled and served with a spicy peanut sauce and a tangy cucumber sauce,A02.jpg,Chicken|Pork,1,,,i0000000000000000000000000000000000000,peanut & tangy cucumber,,r2
4,Tord Mun Pla (8),APPETIZERS,5.75,Deep fried fish cakes served with a tangycucumber sauce.,A03.jpg,,1,,1,i0000000000000000000000000000000000000,tangy cucumber,,r1
5,Larb,APPETIZERS,6.25,Ground chicken; pork or beef cooked with onion. carrots; cilantro and scallions in a spicy and sour sauce on a bed of lettuce.,A04.jpg,G. Ch|G.Pk|G.Bf|Shrimp:+3|Squid:+3,1,,2,i0000000000000000100000110000000000000,spicy and sour,lettuce on bed,c2
6,Naam Sod,APPETIZERS,6.25,Ground pork with ginger; onions; carrots; peanuts; cilantro and scallions in a spicy and sour sauce on a bed of lettuce,A05.jpg,,1,,1,i0000000000000000100000110001100000000,spicy and sour,lettuce on bed,c2
7,Yum Nam Tok,APPETIZERS,6.25,Char-broiled beef with onions; carrots; tomatoes; cucumbers. cilantro; scallions in a spicy a sour sauce.,A06.jpg,,1,,2,i0000000000000001100000110000000000000,spicy and sour,lettuce on bed,c2
8,Yum Yuan,APPETIZERS,6.25,Thai salad made with cabbage; carrots; chicken; shrimp; and peanuts in a spicy and sour sauce,A07.jpg,Chicken|Shrimp:+3,1,,1,i0000000000000000000000100010100000000,spicy and sour,lettuce on bed,c2
9,Yum Pla Muek,APPETIZERS,6.75,Squid salad with onions; carrots; cilantro; scallions; and Chili oil,A08.jpg,,1,,2,i0000000000000000100000110000000000000,Chili oil,lettuce on bed,c2
10,Fresh Roll (2),APPETIZERS,5.5,Shrimp or tofu with lettuce; basil; cucumber; and Vermicelli wrapped in rice paper and served with our special sauce,A09.jpg,,1,,,i0000000000000001000000000100000010000,G. peanut & Hoisin sauce,wrap withrice paper,r1
11,Butterfly Shrimps (5),APPETIZERS,6.75,Deep fried shrimp and ginger wrapped in awanton sheet and served with That duck sauce,A10.jpg,,1,,,i0000000000000000000000000000000000000,sweet venega carrot,,r1
12,Fried Tofu,APPETIZERS,4.75,Fried tofu served with ground peanuts andsweet chili sauce,A11.jpg,,1,,,i0000000000000000000000000000000000000,g.peanut & sweet chilli,,r1
13,Thai Chicken Wings,APPETIZERS,4.75,Chicken wings served with that sweet chili sauce,A12.jpg,,1,,1,i0000000000000000000000000000000000000,thai sweet chilli,,r1
14,Fried Dumpling (7),APPETIZERS,5.75,Deep fried dumpling filled with pork; cabbage; onion; ground ginger served with our special soy sauce,A14.jpg,,1,,,i0000000000000000000000000000000000000,soy sauce,,b2
15,Goong Ghoo Chee,CURRY,14.75,Shrimp; julienred kaffir lime leaves; and mushrooms with Thai curry sauce,C1.jpg,,1,,2,i0001000000000000000000000000000000000,choo chee & Coconut/milk,,b1
16,Penang,CURRY,12.75,Chicken or beef in Thai curry sauce with jubenned kalir lime leaves.,C2.jpg,Chicken|Pork|Beef|Shrimp:+3|Squid:+3|Duck:+3,1,,2,i0000000000000000000000000000000000000,panang & Coconut/milk,,b2
17,Kang Dang Gai,CURRY,9.75,Chicken; bamboo shoots; green peas and basil in red Thai curry,C3.jpg,Chicken|Pork|Beef|Shrimp:+3|Squid:+3|Duck:+3,1,,2,i0000100000000000001000000000000000000,kang dang & Coconut/milk,,b2
18,Kari Gai,CURRY,9.75,Chicken & potatoes with onions in yellow Thai curry,C4.jpg,Chicken|Pork|Beef|Shrimp:+3|Squid:+3|Duck:+3,1,,2,i0000000100010000000000000000000000000,kari& Coconut/milk,,b2
19,Mussaman,CURRY,9.75,Chicken or beef; potatoes; and peanuts in a Southern Thai curry,C5.jpg,Chicken|Pork|Beef|Shrimp:+3|Squid:+3|Duck:+3,1,,1,i0000000000010000000000000000100000000,massaman & Coconut/milk,,b2
20,Gang Kiew whan Goong,CURRY,12.75,Shrimp; pineapple; green beans; and basil in green Thai curry,C6.jpg,Chicken:-3|Pork:-3|Beef:-3|Shrimp|Squid|Duck,1,,2,i0000010000001000000000000000000000000,green curry & Coconut/milk,,b2
21,Ped Choo Chee,DUCK,14.75,Duck with carrots and green beans in Choo Chee curry sauce garnished with kaf fir lime.,DK1.jpg,,1,,2,i0000001000001000000000000000000000000,choo chee & Coconut/milk,,b2
22,Kang Dang Ped,DUCK,12.75,Duck. pineapples peas and tomatoes in red Thai curry,DK2.jpg,,1,,2,i0000001000000100000000000000000000000,kang dang & Coconut/milk,,b2
23,Ped Pad kra Prow,DUCK,14.75,Duck stir-fried with onions; mushrooms; carrots;bell peppers; green onions; and basil,DK3.jpg,,1,,3,i0000001111000000000000000000000000000,Oyster & soy sauce,,o1
24,Kao Na Gai,ENTREES,9.75,Chicken; mushrooms; onions; falapeno; cilantro and scallions in brown sauce over rice.,E1.jpg,Chicken|Pork|Beef|Shrimp:+3|Squid:+3|Duck:+3,1,,,i0000000100000010110000000000000001000,brown sauce,cover rice,c1
25,Pad Kra Prow,ENTREES,10.75,Chicken; pork; or beef stir-fried with carrots; bell peppers; onions; green onions; mushroom; and basil,E2.jpg,Chicken|Pork|Beef|Shrimp:+3|Squid:+3|Duck:+3,1,,2,i0000000111100000010000000000000000000,Oyster & soy sauce,,o1
26,Pad Prik Khing,ENTREES,9.75,Chicken; pork; or beef stir-fried with carrots; green beans; onions; jukenned kaf fir lime leaves; and chili paste.,E3.jpg,Chicken|Pork|Beef|Shrimp:+3|Squid:+3|Duck:+3,1,,1,i0000001101000000000000000000001000001,chiili paste,,o1
27,Gai Pad Med Ma-Muang Him Ma Porn,ENTREES,1.75,Chicken and cashew nuts sauteed with carrots; bell peppers; onions; green onions; mushrooms; and dried chili peppers in a tasty gravy sauce.,E4.jpg,Chicken|Pork|Beef|Shrimp:+3|Squid:+3|Duck:+3,1,,1,i0000001111000000010000000000000000000,tasty gravy sauce,,o1
28,Pad Pak Gail Moo/ Neau,ENTREES,9.75,Chicken; pork; or beef stir-fried with carrots; bell peppers onions; green onions; mushroom; baby corn; snow peas; and broccoli in garlic sauce.,E5.jpg,Chicken|Pork|Beef|Shrimp:+3|Squid:+3|Duck:+3,1,,,i0111001111100000000000000000000000000,garlic sauce,,o1
